samples,predicted
"Әлеуметтік желілерде ЕЦ-166/5 төтенше қауіпсіздік мекемесінде тұтқындардың жаппай төбелесінен кейін әскер енгізіліп, тінту жүргізілгені туралы ақпарат тарады.
","Әлеуметтік желілерде ЕЦ жүз алпыс алты бөлу бес төтенше қауіпсіздік мекемесінде тұтқындардың жаппай төбелесінен кейін әскер енгізіліп, тінту жүргізілгені туралы ақпарат тарады 
"
"Бұл – фейк, оны Нұр-Сұлтан қаласы бойынша ҚАЖД теріске шығарды.
","Бұл   фейк, оны Нұр Сұлтан қаласы бойынша ҚАЖД теріске шығарды 
"
"Кейбір желі қолданушылары мекеменің алдына қойылған жедел жәрдем көлігін көріп, онда жаппай төбелес болып, әскер тартылған және тінту жүргізілді деп ойлаған.
","Кейбір желі қолданушылары мекеменің алдына қойылған жедел жәрдем көлігін көріп, онда жаппай төбелес болып, әскер тартылған және тінту жүргізілді деп ойлаған 
"
"Шын мәнінде дәрігерлер колонияға созылмалы ауруы бар сотталушыға көмектесу үшін келді, деп хабарлады stopfake.kz.
","Шын мәнінде дәрігерлер колонияға созылмалы ауруы бар сотталушыға көмектесу үшін келді, деп хабарлады стопфаке кз 
"
"«17 наурызда таңғы сағат 06:30 шамасында Нұр-Сұлтан қаласы бойынша Қылмыстық-атқару жүйесі департаментінің ЕЦ-166/5 төтенше қауіпсіздік мекемесінің қызметкерлері бронх демікпесімен ауыратын сотталушы Ж.-ға медициналық көмек көрсету үшін жедел жәрдем шақырылғанын хабарлаймыз.
","«он жетінші наурызда таңғы сағат алты отыз шамасында Нұр Сұлтан қаласы бойынша Қылмыстықатқару жүйесі департаментінің ЕЦ жүз алпыс алты бөлу бес төтенше қауіпсіздік мекемесінің қызметкерлері бронх демікпесімен ауыратын сотталушы Ж  ға медициналық көмек көрсету үшін жедел жәрдем шақырылғанын хабарлаймыз 
"
"Медициналық көмек сол жерде көрсетілді.
","Медициналық көмек сол жерде көрсетілді 
"
"Қазіргі кезде оның жағдайы қанағаттанарлық», – деп хабарлады Нұр-Сұлтан қаласы бойынша ҚАЖД баспасөз қызметі.
","Қазіргі кезде оның жағдайы қанағаттанарлық»,   деп хабарлады Нұр Сұлтан қаласы бойынша ҚАЖД баспасөз қызметі 
"
"Сондай-ақ ведомствоның хабарлауынша, Қазнет пайдаланушылары айтып отырған колониядағы тінту жұмыстары жоспарлы түрде жүргізілген және жедел жәрдемнің келуімен ешқандай байланысы жоқ.
","Сондайақ ведомствоның хабарлауынша, Қазнет пайдаланушылары айтып отырған колониядағы тінту жұмыстары жоспарлы түрде жүргізілген және жедел жәрдемнің келуімен ешқандай байланысы жоқ 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Шымкент тұрғыны 400 адамды жинап, көкпар ұйымдастырған
","« Шымкент тұрғыны төрт жүз адамды жинап, көкпар ұйымдастырған
"
"Юрий Ильин ШҚО-дағы су тасқыны қаупі бар орындарды әуеден барлады »
","Юрий Ильин ШҚО дағы су тасқыны қаупі бар орындарды әуеден барлады »
"
